id;club-id;trikot-number;player-name;country;total-games;goals;assists
1;1;1;Manuel Neuer;D;32;0;0
2;1;22;Tom Starke;D;0;0;0
3;1;26;Sven Ulreich;D;0;0;0
4;1;27;David Alaba;A;28;2;1
5;1;21;Philipp Lahm;D;24;1;1
6;1;13;Rafinha;BRA;23;0;3
7;1;32;Joshua Kimmich;D;22;0;2
8;1;17;Jerome Boateng;D;18;0;3
9;1;18;Juan Bernat;E;16;0;1
10;1;8;Javier Martinez;E;15;1;1
11;1;5;Mehdi Benatia;MAR;12;1;2
12;1;28;Holger Badstuber;D;7;0;0
13;1;4;Serdar Tasci;D;3;0;0
14;1;4;Dante;BRA;1;0;0
15;1;15;Jan Kirchhoff;D;0;0;0
16;1;23;Arturo Vidal;RCH;29;4;6
17;1;11;Douglas Costa;BRA;26;4;12
18;1;6;Thiago;E;25;2;4
19;1;14;Xabi Alonso;E;25;0;1
20;1;10;Arjen Robben;NL;15;4;1
21;1;20;Sebastian Rode;D;13;1;1
22;1;7;Franck Ribery;F;11;2;5
23;1;16;Gianluca Gaudino;D;0;0;0
24;1;34;Pierre Emil Höjbjerg;DEN;0;0;0
25;1;37;Julian Green;USA;0;0;0
26;1;9;Robert Lewandowski;PL;30;27;3
27;1;25;Thomas Müller;D;30;20;7
28;1;29;Kingsley Coman;F;22;4;5
29;1;19;Mario Götze;D;13;1;5
30;1;0;Milos Pantovic;SER;1;0;0
31;1;24;Sinan Kurt;D;0;0;0
32;7;38;Roman Bürki;CH;31;0;0
33;7;1;Roman Weidenfeller;D;1;0;0
34;7;39;Hendrik Bonmann;D;0;0;0
35;7;15;Mats Hummels;D;28;2;2
36;7;29;Marcel Schmelzer;D;24;0;3
37;7;25;Sokratis;GR;23;1;0
38;7;28;Matthias Ginter;D;23;3;6
39;7;26;Lukasz Piszczek;PL;20;0;3
40;7;37;Erik Durm;D;12;1;1
41;7;4;Neven Subotic;SER/USA;6;0;0
42;7;3;Joo Ho Park;KOR;5;0;0
43;7;40;Jeremy Dudziak;D;0;0;0
44;7;0;Pascal Stenzel;D;0;0;0
45;7;10;Henrikh Mkhitaryan;ARM;30;11;20
46;7;33;Julian Weigl;D;29;0;0
47;7;23;Shinji Kagawa;JAP;27;9;9
48;7;8;Ilkay Gündogan;D;25;1;3
49;7;11;Marco Reus;D;24;11;4
50;7;27;Gonzalo Castro;D/E;23;2;7
51;7;6;Sven Bender;D;17;0;0
