"url","measuretime","responsetime"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-06 12:34:56+00","54782"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.699006+00","37198"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.738982+00","38530"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.777477+00","36999"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.823518+00","44617"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.865038+00","39262"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.90927+00","42367"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.94871+00","37709"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:57.988866+00","39012"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:58.031782+00","41786"
"http://worldtimeapi.org/api/timezone/Europe/Berlin","2024-06-08 22:16:58.070866+00","37916"
